"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-72wf Ch.1","TR-72wf Ch.2"
"","","ÅãC","%"
"2019-11-07 18:59:38","43776.7914120370","13.8","51"
"2019-11-07 19:04:38","43776.7948842593","13.7","55"
"2019-11-07 19:09:38","43776.7983564815","14.4","60"
"2019-11-07 19:14:38","43776.8018287037","15.0","62"
"2019-11-07 19:19:38","43776.8053009259","15.4","64"
"2019-11-07 19:24:38","43776.8087731482","15.7","65"
"2019-11-07 19:29:38","43776.8122453704","15.9","67"
"2019-11-07 19:34:38","43776.8157175926","16.1","68"
"2019-11-07 19:39:38","43776.8191898148","16.3","68"
"2019-11-07 19:44:38","43776.8226620370","16.5","68"
"2019-11-07 19:49:38","43776.8261342593","16.6","69"
"2019-11-07 19:54:38","43776.8296064815","16.8","70"
"2019-11-07 19:59:38","43776.8330787037","16.3","67"
"2019-11-07 20:04:38","43776.8365509259","14.2","53"
"2019-11-07 20:09:38","43776.8400231482","13.6","53"
"2019-11-07 20:14:38","43776.8434953704","14.4","59"
"2019-11-07 20:19:38","43776.8469675926","15.0","63"
"2019-11-07 20:24:38","43776.8504398148","15.4","64"
"2019-11-07 20:29:38","43776.8539120370","15.7","66"
"2019-11-07 20:34:38","43776.8573842593","15.9","67"
"2019-11-07 20:39:38","43776.8608564815","16.2","67"
"2019-11-07 20:44:38","43776.8643287037","16.3","68"
"2019-11-07 20:49:38","43776.8678009259","16.5","69"
"2019-11-07 20:54:38","43776.8712731482","16.7","69"
"2019-11-07 20:59:38","43776.8747453704","16.8","70"
"2019-11-07 21:04:38","43776.8782175926","16.0","64"
"2019-11-07 21:09:38","43776.8816898148","14.0","52"
"2019-11-07 21:14:38","43776.8851620370","13.5","54"
"2019-11-07 21:19:38","43776.8886342593","14.3","58"
"2019-11-07 21:24:38","43776.8921064815","14.8","62"
"2019-11-07 21:29:38","43776.8955787037","15.3","64"
"2019-11-07 21:34:38","43776.8990509259","15.6","65"
"2019-11-07 21:39:38","43776.9025231482","15.8","67"
"2019-11-07 21:44:38","43776.9059953704","16.0","67"
"2019-11-07 21:49:38","43776.9094675926","16.2","68"
"2019-11-07 21:54:38","43776.9129398148","16.4","68"
"2019-11-07 21:59:38","43776.9164120370","16.5","69"
"2019-11-07 22:04:38","43776.9198842593","16.7","69"
"2019-11-07 22:09:38","43776.9233564815","16.8","70"
"2019-11-07 22:14:38","43776.9268287037","15.7","62"
"2019-11-07 22:19:38","43776.9303009259","13.8","52"
"2019-11-07 22:24:38","43776.9337731482","13.6","55"
"2019-11-07 22:29:38","43776.9372453704","14.4","60"
"2019-11-07 22:34:38","43776.9407175926","14.9","62"
"2019-11-07 22:39:38","43776.9441898148","15.3","69"
"2019-11-07 22:44:38","43776.9476620370","15.7","75"
"2019-11-07 22:49:38","43776.9511342593","16.0","78"
"2019-11-07 22:54:38","43776.9546064815","16.3","80"
"2019-11-07 22:59:38","43776.9580787037","16.6","81"
"2019-11-07 23:04:38","43776.9615509259","16.9","81"
"2019-11-07 23:09:38","43776.9650231482","16.6","77"
"2019-11-07 23:14:38","43776.9684953704","14.5","58"
"2019-11-07 23:19:38","43776.9719675926","13.2","53"
"2019-11-07 23:24:38","43776.9754398148","13.9","61"
"2019-11-07 23:29:38","43776.9789120370","14.6","65"
"2019-11-07 23:34:38","43776.9823842593","15.1","67"
"2019-11-07 23:39:38","43776.9858564815","15.4","69"
"2019-11-07 23:44:38","43776.9893287037","15.7","70"
"2019-11-07 23:49:38","43776.9928009259","15.9","71"
"2019-11-07 23:54:38","43776.9962731482","16.1","72"
"2019-11-07 23:59:38","43776.9997453704","16.3","72"
"2019-11-08 00:04:38","43777.0032175926","16.4","73"
"2019-11-08 00:09:38","43777.0066898148","16.6","74"
